frame,rep,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_v,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_v,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_v,right_hip_x,right_hip_y,right_hip_z,right_hip_v,elbow_angle,head_angle,spine_angle
0,0,0.3182969391345978,0.46481794118881226,-0.4717404246330261,0.9999818801879883,0.31596818566322327,0.3630865812301636,-0.92047119140625,0.9987194538116455,0.3954741656780243,0.2516489326953888,-1.0480881929397583,0.9926595091819763,0.43221375346183777,0.6980273723602295,-0.18232695758342743,0.9996286630630493,143.18243148559296,-179.1558891486764,166.03443383425702
1,0,0.31512320041656494,0.4648170471191406,-0.39388787746429443,0.9999822378158569,0.3159637749195099,0.36119693517684937,-0.7791057229042053,0.9984661340713501,0.3958658277988434,0.2493126094341278,-0.7711214423179626,0.9912818074226379,0.43614649772644043,0.6984315514564514,-0.1876869648694992,0.9996626377105713,144.93229601313402,-178.60967166595165,163.0426549953057
2,0,0.3149789273738861,0.46480777859687805,-0.3959709107875824,0.9999804496765137,0.31764620542526245,0.35483595728874207,-0.7879209518432617,0.9982534646987915,0.39639967679977417,0.2454049438238144,-0.7815487384796143,0.9898927807807922,0.4381192624568939,0.6983136534690857,-0.2048826515674591,0.9996823072433472,145.64821500148395,-177.34301874662194,161.90866361198147
3,0,0.31512582302093506,0.4650762379169464,-0.3992239236831665,0.9999766945838928,0.3291689157485962,0.3552640676498413,-0.813692569732666,0.9981046915054321,0.39703258872032166,0.24534547328948975,-0.8058999180793762,0.9889301061630249,0.44348835945129395,0.6983141899108887,-0.20352177321910858,0.9996967315673828,155.5964352446954,-177.1991420260917,160.76310384669583
4,0,0.31650635600090027,0.46499672532081604,-0.41010504961013794,0.9999686479568481,0.3325003683567047,0.3555070161819458,-0.8212682008743286,0.9978808164596558,0.3982502520084381,0.24680529534816742,-0.817488968372345,0.9871668219566345,0.4453742504119873,0.698211133480072,-0.20257717370986938,0.9996895790100098,157.14257576505221,-177.45641991598012,160.6085877174835
5,0,0.31762999296188354,0.4629555940628052,-0.3695297837257385,0.9999627470970154,0.33264368772506714,0.3512886166572571,-0.7655717730522156,0.9976773262023926,0.39830029010772705,0.2469167858362198,-0.7443549036979675,0.9851236939430237,0.4465484023094177,0.6978448033332825,-0.20432676374912262,0.9996864199638367,155.48499566793194,-177.08009510624296,160.6945097179651
6,0,0.319954514503479,0.4629599153995514,-0.36643317341804504,0.9999562501907349,0.33417952060699463,0.3515998125076294,-0.7606642246246338,0.9974957704544067,0.39830493927001953,0.24804286658763885,-0.7592645287513733,0.9841684103012085,0.44905760884284973,0.6980109214782715,-0.2138325721025467,0.9996731877326965,155.51249702420859,-177.02101376246407,160.4588585648186
7,0,0.32107293605804443,0.4626978933811188,-0.3258710205554962,0.999951958656311,0.33403322100639343,0.35011085867881775,-0.6900987029075623,0.9973363876342773,0.3993150293827057,0.24908925592899323,-0.6491910815238953,0.982754111289978,0.44906502962112427,0.698030948638916,-0.2159462720155716,0.999661922454834,153.69540911722092,-176.8129692853096,160.47266716881134
8,0,0.32118627429008484,0.4626224935054779,-0.31550851464271545,0.999951958656311,0.33387717604637146,0.3544052541255951,-0.6430347561836243,0.9971172213554382,0.3986266851425171,0.2613378167152405,-0.570195198059082,0.9812691807746887,0.44926920533180237,0.6980274319648743,-0.21726496517658234,0.9996720552444458,151.8612960218918,-176.86181106220192,160.2271734186923
9,0,0.31775012612342834,0.46354928612709045,-0.3054543435573578,0.9999518990516663,0.32392510771751404,0.3615969717502594,-0.6148675680160522,0.9969658851623535,0.39677199721336365,0.275282084941864,-0.5085099935531616,0.9799380302429199,0.4509679675102234,0.6989235877990723,-0.21764014661312103,0.9996823072433472,143.3027681817119,-177.3473135977864,158.99456865947658
10,0,0.3164568841457367,0.4646419882774353,-0.2628841698169708,0.9999534487724304,0.35191610455513,0.39930394291877747,-0.5118674039840698,0.9966593980789185,0.3938569724559784,0.2953808009624481,-0.4063490927219391,0.978642463684082,0.4594203233718872,0.7008870840072632,-0.20556312799453735,0.9996974468231201,173.4889497025177,-177.15499714009152,156.36529238860572
11,0,0.3098948001861572,0.46574223041534424,-0.18446944653987885,0.9999525547027588,0.34981435537338257,0.41025975346565247,-0.5353734493255615,0.996422529220581,0.3872048556804657,0.3076910376548767,-0.5445499420166016,0.9775761961936951,0.45899641513824463,0.7007574439048767,-0.19003775715827942,0.9996793866157532,164.29391431679207,-177.60539770639951,154.9804852089779
12,0,0.3029676675796509,0.465729683637619,-0.19782017171382904,0.9999462366104126,0.35140281915664673,0.4294966459274292,-0.5478006601333618,0.996120274066925,0.38405776023864746,0.31693235039711,-0.5847888588905334,0.977689266204834,0.4586426913738251,0.7003855109214783,-0.19102543592453003,0.9996269941329956,142.97663928054186,-177.93673014889904,153.00911255563653
13,0,0.29568973183631897,0.4673919677734375,-0.1508331000804901,0.9999423623085022,0.3244921863079071,0.457242488861084,-0.5653183460235596,0.9955250024795532,0.3753463625907898,0.33468955755233765,-0.7235822677612305,0.9780495762825012,0.4585703909397125,0.6990277767181396,-0.1823175847530365,0.9995824098587036,131.9479023097351,-178.7088530386602,151.4786629476231
14,0,0.28605931997299194,0.46997153759002686,-0.19514432549476624,0.999941885471344,0.30076730251312256,0.4835186004638672,-0.6859495639801025,0.9948657155036926,0.34995415806770325,0.355991393327713,-1.0034939050674438,0.9779205918312073,0.4585380554199219,0.6990221738815308,-0.17968158423900604,0.9995675086975098,68.44427283965604,-179.59468252974983,149.4680091786965
15,0,0.2772964537143707,0.47422099113464355,-0.17001613974571228,0.9999440908432007,0.290461003780365,0.4954889118671417,-0.6784836053848267,0.9944391846656799,0.34190359711647034,0.3642720878124237,-0.9249191284179688,0.9785729050636292,0.4526781141757965,0.6996163725852966,-0.17152366042137146,0.9995682835578918,53.1642354394146,179.2002844854006,148.66337009968538
16,0,0.2715460956096649,0.4788111746311188,-0.18759110569953918,0.9999443888664246,0.2905862033367157,0.5192099809646606,-0.7295082807540894,0.9942242503166199,0.3219395875930786,0.38639694452285767,-1.1019366979599,0.9798503518104553,0.44985565543174744,0.6996088624000549,-0.17217883467674255,0.9995254874229431,38.517397750385115,177.78758454306094,147.79518642953633
17,0,0.25873705744743347,0.4831356406211853,-0.20486858487129211,0.9999396800994873,0.2917417585849762,0.525394082069397,-0.7695203423500061,0.9941060543060303,0.3225552439689636,0.3908562660217285,-1.0958949327468872,0.9809406399726868,0.4390181601047516,0.7021803259849548,-0.17645765841007233,0.9993444085121155,50.890645153931956,178.1278893137931,147.2136497297348
18,0,0.2540337145328522,0.48583194613456726,-0.2398466020822525,0.99993896484375,0.2939583659172058,0.5457499027252197,-0.771373987197876,0.9940974116325378,0.32199859619140625,0.3999805748462677,-1.0822877883911133,0.9822697043418884,0.428512305021286,0.7054433822631836,-0.18226146697998047,0.9991549849510193,44.56482605463858,177.94130206339577,147.46959345653949
19,0,0.23874063789844513,0.493272602558136,-0.19301968812942505,0.9999352693557739,0.2801325023174286,0.563096284866333,-0.7216243743896484,0.9938487410545349,0.29158589243888855,0.42813482880592346,-1.0127586126327515,0.9831064939498901,0.4234555959701538,0.7065252065658569,-0.18252013623714447,0.9987525939941406,35.51043170713224,176.46727595820977,145.55576480541896
20,0,0.22607062757015228,0.5004356503486633,-0.20853349566459656,0.9999333024024963,0.28075453639030457,0.5663817524909973,-0.7491530179977417,0.9937183260917664,0.30005234479904175,0.43069928884506226,-1.0774109363555908,0.9840352535247803,0.42492493987083435,0.7113454341888428,-0.18171773850917816,0.9983483552932739,47.76100142651251,176.0887667135428,143.94235018164488
21,0,0.20911574363708496,0.5081338882446289,-0.2942642569541931,0.999930739402771,0.2814052700996399,0.5788609385490417,-0.8484261631965637,0.9937461018562317,0.2983440160751343,0.44976794719696045,-1.2211992740631104,0.9848669171333313,0.4231754243373871,0.7168998718261719,-0.17855718731880188,0.9982737898826599,53.10121514220505,174.82135537218008,142.50913383801796
22,0,0.19871583580970764,0.5073341727256775,-0.3052845895290375,0.9999310970306396,0.28145331144332886,0.5827925801277161,-0.8500258326530457,0.9938333630561829,0.29892033338546753,0.4517817497253418,-1.202549934387207,0.9860411286354065,0.41668081283569336,0.7174882888793945,-0.178828626871109,0.9980353116989136,55.22866841374669,174.5800033737359,141.64194837867132
23,0,0.19509902596473694,0.5049401521682739,-0.2960089147090912,0.9999303817749023,0.27050551772117615,0.5885274410247803,-0.8215923309326172,0.9938220977783203,0.29081544280052185,0.4547463655471802,-1.196792483329773,0.9869855046272278,0.4131826162338257,0.7163375020027161,-0.17708539962768555,0.99791419506073,50.686946777585504,174.75761474858862,140.9864537353732
24,0,0.19267575442790985,0.5035576820373535,-0.2952914535999298,0.999932050704956,0.2641315162181854,0.5958592891693115,-0.842380702495575,0.9939331412315369,0.27872756123542786,0.46733424067497253,-1.2057701349258423,0.987979531288147,0.41398629546165466,0.7156530022621155,-0.17631909251213074,0.9978877902030945,44.224508759937294,175.8196544189595,140.57430601198888
25,0,0.1920672208070755,0.5029597878456116,-0.2886293828487396,0.9999344944953918,0.2518417239189148,0.602814257144928,-0.8295947909355164,0.9940397143363953,0.26725849509239197,0.47699329257011414,-1.1428568363189697,0.9889140129089355,0.4141893684864044,0.7150910496711731,-0.17636410892009735,0.9976932406425476,37.89102133077536,175.5790429531069,139.67564699484677
26,0,0.1959867924451828,0.5047302842140198,-0.30597537755966187,0.9999337792396545,0.24807614088058472,0.6120893955230713,-0.8373791575431824,0.9940292835235596,0.25604763627052307,0.4885224997997284,-1.2203712463378906,0.989522397518158,0.41477856040000916,0.7148295044898987,-0.18132296204566956,0.9976168870925903,29.573229480542786,175.6584599305874,139.46667343607595
27,0,0.1980387270450592,0.5050167441368103,-0.33496686816215515,0.9999228119850159,0.24795082211494446,0.6221573948860168,-0.836411714553833,0.9929282069206238,0.26349273324012756,0.49761444330215454,-1.230299711227417,0.9890950322151184,0.4152120053768158,0.7156482934951782,-0.19400636851787567,0.9972143769264221,30.19147588779389,174.3851234536905,139.65057826103236
28,0,0.19179731607437134,0.5091382265090942,-0.34083616733551025,0.9999144673347473,0.24758681654930115,0.6296709179878235,-0.8445850610733032,0.9917289614677429,0.2645229399204254,0.5033313632011414,-1.2476012706756592,0.9884982109069824,0.41462868452072144,0.717533528804779,-0.19544744491577148,0.9969747066497803,32.47254926694496,174.41739061904028,139.23623987371644
29,0,0.18562451004981995,0.5115455389022827,-0.32943254709243774,0.9999005794525146,0.24504676461219788,0.6351198554039001,-0.8227415084838867,0.9889867305755615,0.2603478729724884,0.5133784413337708,-1.2108068466186523,0.9869914054870605,0.4077903628349304,0.7193716168403625,-0.1973685324192047,0.9962335824966431,32.84483091805192,175.06275664413292,139.2923709746407
30,0,0.18110086023807526,0.510496973991394,-0.3299247920513153,0.9998872876167297,0.23438583314418793,0.6361222267150879,-0.8390860557556152,0.9867902994155884,0.25549107789993286,0.5163094997406006,-1.2840150594711304,0.9859952926635742,0.40497061610221863,0.7199528813362122,-0.19956164062023163,0.9953790903091431,32.974897131895986,175.0216708792501,138.96680848979312
31,0,0.18388254940509796,0.5098612308502197,-0.3269551992416382,0.9998739361763,0.2247583568096161,0.635280430316925,-0.875681459903717,0.9841316342353821,0.2512657046318054,0.5187988877296448,-1.3603434562683105,0.9835798740386963,0.40558868646621704,0.7202914953231812,-0.20448939502239227,0.9948641657829285,30.871781225338317,175.13102402106773,139.26726268634914
32,0,0.18353219330310822,0.5098074078559875,-0.32411959767341614,0.999866247177124,0.20921453833580017,0.6333495378494263,-0.8878680467605591,0.9825077056884766,0.24505124986171722,0.5204401016235352,-1.3453633785247803,0.9818755388259888,0.4055928885936737,0.7201480269432068,-0.2128661721944809,0.994402289390564,29.352669489872962,175.22657955810624,139.36872824096545
33,0,0.1844354271888733,0.509472131729126,-0.3247939944267273,0.9998552203178406,0.20544561743736267,0.633462131023407,-0.8858408331871033,0.9812507033348083,0.24059216678142548,0.5194020867347717,-1.3367217779159546,0.9806262850761414,0.40560799837112427,0.7199665307998657,-0.21395693719387054,0.9939056038856506,26.74365160958419,175.24996475477496,139.43079556692516
34,0,0.17978723347187042,0.510385274887085,-0.3530220687389374,0.9998477697372437,0.20935454964637756,0.6369209289550781,-0.8974143266677856,0.981589674949646,0.2411901354789734,0.5199851393699646,-1.3265950679779053,0.9812453985214233,0.4033632278442383,0.7214171290397644,-0.21493497490882874,0.9935611486434937,28.381778210480835,175.35673944522316,139.566346130631
35,0,0.17929072678089142,0.5110679864883423,-0.3522166907787323,0.9998390078544617,0.21120613813400269,0.6371837258338928,-0.8531751036643982,0.9818021059036255,0.2425956428050995,0.5186731815338135,-1.2002841234207153,0.9813529849052429,0.40151163935661316,0.7218558192253113,-0.21422627568244934,0.9932721853256226,29.036470251995443,174.98609698099935,140.00271446909863
36,0,0.17760635912418365,0.5122839212417603,-0.36779749393463135,0.9998355507850647,0.212692528963089,0.6361626386642456,-0.8860578536987305,0.9821714758872986,0.242072194814682,0.5163699984550476,-1.2663406133651733,0.9819037318229675,0.40007293224334717,0.7219864726066589,-0.21536506712436676,0.993360698223114,29.593761227139137,175.3866067035073,140.0159745090224
37,0,0.1776657998561859,0.5122767686843872,-0.3612840175628662,0.9998358488082886,0.21200448274612427,0.6343010663986206,-0.8800205588340759,0.9826998710632324,0.241742804646492,0.5142071843147278,-1.2538937330245972,0.9825699329376221,0.40061959624290466,0.721897304058075,-0.21484047174453735,0.9934765100479126,29.625189357054442,175.81852038175055,139.14754850852873
38,0,0.17665934562683105,0.5113278031349182,-0.35840296745300293,0.999832272529602,0.20383790135383606,0.6318250894546509,-0.8421505093574524,0.983537495136261,0.24659009277820587,0.5130812525749207,-1.1561239957809448,0.9833056330680847,0.40067294239997864,0.7215421795845032,-0.218929260969162,0.9934666156768799,32.5113120638917,176.41336768670365,138.911886422663
39,0,0.171809583902359,0.5095542669296265,-0.35642823576927185,0.9998356699943542,0.19992612302303314,0.6235318183898926,-0.8210465908050537,0.9846147298812866,0.2549538314342499,0.5077254176139832,-1.1078587770462036,0.9843379259109497,0.4007510840892792,0.7211830019950867,-0.21632792055606842,0.9936156272888184,39.27299253131082,176.46629201451546,138.52475508968212
40,0,0.17045724391937256,0.5070213675498962,-0.3567129671573639,0.9998387098312378,0.20203958451747894,0.6152642965316772,-0.8232017755508423,0.9855825304985046,0.2603488862514496,0.49401697516441345,-1.1124531030654907,0.9854774475097656,0.40082767605781555,0.7199404239654541,-0.21600303053855896,0.9937997460365295,41.949271310744294,177.3607372296437,138.49448071327595
41,0,0.166717529296875,0.5045871138572693,-0.3725799322128296,0.9998434782028198,0.2212108075618744,0.6050401329994202,-0.9003567695617676,0.9865673184394836,0.2722512185573578,0.48003095388412476,-1.1993727684020996,0.986602246761322,0.4029487371444702,0.7186377048492432,-0.21740585565567017,0.9939076900482178,50.68860120713717,178.10072427109813,138.1567809169582
42,0,0.16708782315254211,0.5039602518081665,-0.3316618800163269,0.9998496770858765,0.23156526684761047,0.5976830124855042,-0.8887041211128235,0.9874661564826965,0.28550195693969727,0.46847206354141235,-1.1834636926651,0.9876105785369873,0.40733832120895386,0.7180325984954834,-0.21128562092781067,0.9937606453895569,57.18357104601386,178.5800522585138,137.92814211992595
43,0,0.16757874190807343,0.5010191202163696,-0.32607129216194153,0.9998544454574585,0.23268534243106842,0.5886725783348083,-0.8871539235115051,0.9883503913879395,0.28945931792259216,0.4594089984893799,-1.134326457977295,0.9885028600692749,0.4101460576057434,0.7168405055999756,-0.20780035853385925,0.9936231374740601,60.31556450256823,179.05662171192355,137.90705849566663
44,0,0.16965170204639435,0.4997587502002716,-0.3370324373245239,0.9998598694801331,0.23446983098983765,0.5832176804542542,-0.8889596462249756,0.9891531467437744,0.2933979630470276,0.4519285559654236,-1.1472164392471313,0.9893504977226257,0.4108268916606903,0.7156980037689209,-0.20542855560779572,0.9937799572944641,62.00716091908597,179.5948044694745,138.3973732821499
45,0,0.17171072959899902,0.4998430907726288,-0.3281363546848297,0.9998648166656494,0.24247407913208008,0.5777997970581055,-0.8759517669677734,0.9899463653564453,0.29595261812210083,0.4490251839160919,-1.1247975826263428,0.9900675415992737,0.41205185651779175,0.7155134677886963,-0.2036297470331192,0.9940651059150696,64.78337144204734,178.18180965442218,139.27069255635857
46,0,0.17996737360954285,0.5000210404396057,-0.3014870584011078,0.9998680353164673,0.2422676533460617,0.5751345753669739,-0.8621428608894348,0.9905940890312195,0.297941654920578,0.44780558347702026,-1.1315730810165405,0.9906161427497864,0.4127579629421234,0.7154123783111572,-0.18991759419441223,0.9942903518676758,63.28994277301945,176.02239879602615,140.67476393250965
47,0,0.1888907551765442,0.49988582730293274,-0.2827654778957367,0.9998713135719299,0.24866610765457153,0.5634285807609558,-0.8557419776916504,0.9911443591117859,0.30207833647727966,0.44033950567245483,-1.1382876634597778,0.9910746216773987,0.41297104954719543,0.7144554853439331,-0.17903843522071838,0.994627833366394,66.70768440258888,175.3424885087164,141.69640342215513
48,0,0.19776521623134613,0.4985930025577545,-0.30643314123153687,0.9998677372932434,0.2549920082092285,0.5559991002082825,-0.9041752219200134,0.9916074872016907,0.31205400824546814,0.4313632845878601,-1.1848468780517578,0.9913315773010254,0.4147951900959015,0.7143911719322205,-0.1808556616306305,0.9948821067810059,69.51010152641943,175.42480134479663,142.4418578966675
49,0,0.2105494886636734,0.49404454231262207,-0.35570910573005676,0.9998629689216614,0.2610478103160858,0.5542227625846863,-0.960787832736969,0.992044985294342,0.3164975643157959,0.43465423583984375,-1.293782353401184,0.9916765689849854,0.4157159626483917,0.7136600017547607,-0.19388285279273987,0.9950781464576721,64.8810172827188,175.5712164988464,144.0103913515262
50,0,0.21931526064872742,0.4923641085624695,-0.3525332510471344,0.9998548030853271,0.26924851536750793,0.5485812425613403,-0.936115026473999,0.9923006296157837,0.3148166835308075,0.42933082580566406,-1.2474058866500854,0.9917046427726746,0.41743704676628113,0.7131078243255615,-0.20065048336982727,0.9952679872512817,62.525104358005294,175.42431996134277,144.75698310347465
51,0,0.22036127746105194,0.4929712414741516,-0.35187339782714844,0.9998486638069153,0.2757234573364258,0.5411437153816223,-0.9256027340888977,0.9926359057426453,0.3263298273086548,0.4196982979774475,-1.1739047765731812,0.9917547702789307,0.4196931719779968,0.7130480408668518,-0.19767947494983673,0.9954575300216675,71.5939037008961,175.6452327411587,144.81156797013801
